	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
1	12 hpf	0	NA	optic vesicle	rx3, mab21l2, eif3ja
2	12 hpf	1	NA	optic vesicle	rx2, rx3, mab21l2, six3b, six7, lman1, pax6b, grasp, hmx4, six3a, swap70b, cxcr4a, tbx2b, lhx9
3	12 hpf	2	NA	midbrain	eng2a, her5, her11, eng2b, pax2a, ackr3a, pax7a, wnt8b, sox21a, fzd10, sp5a, her3
4	12 hpf	4	NA	neural crest	sox10, zic2b, tfap2a, sox9b, pax3a, twist1b, msx3, fam212aa (inka1a), ednrab, pdgfra, sox5, klf7a, cxxc5b
5	12 hpf	5	NA	mid-hind boundary/ant hindbrain	gbx2, ptgdsb.1, cyp26c1.1, ptgdsb.2, eng2b, pax2a, pou3f1, zic2a, her8a, eng2a, fgf8a
6	12 hpf	7	NA	midbrain neural rod	her3, sox21a, dmbx1a, sox19a, eng2b, wnt4a, pou3f3a, otx1b, ackr3a, otx2
7	12 hpf	8	NA	hindbrain rhombomere 7	wnt11r, hoxd4a, hoxa3a, crabp2a, hoxb1b, ptgdsb.1, her4.1, olig4, hoxc3a, hoxb5b, hoxa3b, rxrga
8	12 hpf	9	NA	diencephalon (posterior)	barhl1a, barhl2, olig3, rbfox3a, pax6a, wnt8b, wnt4a, emx2, fgfr3, lhx5, olig2, otx1b, foxb1a, thy1
9	12 hpf	10	NA	placode (lens)	arl3l1, ptgs2a, pitx3, vgll4l, p2rx3a, dlx3b, krt97, epcam, snai2, tagln2, fmo5, pax6b, foxe3, pax6b
10	12 hpf	11	NA	hindbrain rhombomere 5/6	mafba, egr2b, hoxa3a, hoxb3a, crygmx, cryba2b, crygn2, efemp2b, prox2
11	12 hpf	12	NA	dorsal diencephalon	lhx5, fezf2, olig2, pax6a, olig3, nr2e1, six7, nr2f2, emx3, foxd1
12	12 hpf	13	NA	telencephalon I (neurons)	emx3, foxg1a, ntn1b, sox1b, hesx1, rspo3, fezf2, ascl1b.1, npy, elavl3
13	12 hpf	14	NA	heart primordium	hand2, gata5, tdgf1, gdf3, gata6, foxh1, nkx2.5, tmem88a, tmem88b
14	12 hpf	15	NA	prechordal plate/polster	ctslb, he1a, ctslb.1, fkbp11, he1b, pitx2
15	12 hpf	16	NA	mesoderm	meox1, tmem119b, cthrc1a, prrx1a, thbs3b, nkx3-1, fsta, foxc1b, foxc1a, ripply1
16	12 hpf	17	NA	hindbrain rhombomere 1/2	VGLL3, hoxa2b, cyp26c1.1, irx3a, exd3, rgra, her4.2.1, ptgdsb.1, pax7b
17	12 hpf	18	NA	telencephalon II	zic4, fgf17, emx3, foxg1a, cdh6, fgf8a, zic1, dlx3b, dlx4b, rspo3, fezf2, zic2a, sp8b, zic5, 
18	12 hpf	19	NA	placode (trigeminal)	krt97, tp63, klf17, dlx3b, vgll4l, msx1b, ptgs2a, tfap2a, p2rx3a, dlx4b, irx1a, dlx4a
19	12 hpf	20	NA	ventral diencephalon	dbx1a, sst1.2. nkx2.4a, nkx2.4b, shha, shhb, nkx2.1, fzd8b, nkx2.2b, lft1, rx3
20	12 hpf	21	NA	placode (epibranchial)	foxi1, gbx2, pax8, arhgap27l, cldnb, f11r.1, eya4, eya2, sox3
21	12 hpf	22	NA	placode (otic)	cldna, PTCHD3, sp7, foxj1b, mcf2lb, stc2a, foxi1, myl10, pax2a, fgf24, pax8, gbx2
22	12 hpf	23	NA	ventral diencephalon (optic stalk)	nkx2.9, nkx2.2b, nkx2.2a, gsx2, olig2, foxd1, nkx2.1, nkx2.4b, vax1, ascl1a, lhx5
23	12 hpf	24	NA	hindbrain rhombomere 4	cyp26b1, prss35, kctd12.2, phox2bb, dusp2, egfl6.1, hoxb1a, cyp26c1.1
24	12 hpf	25	NA	mesoderm	ndnfl, six2a, pcolcea, foxc1a, plpp1a, twist1a, cxcl12b, nkx2.7, ripply1, aplnra
25	12 hpf	26	NA	mesoderm (pharyngeal arch, pectoral fin)	foxf2a, osr1, capgb, ebf3a, pknox2, tsku, foxc1a, twist1a, six1a, insb, ripply1, meox1, foxc1b, pitx3
26	12 hpf	27	NA	hindbrain rhombomere 3	egr2b, cyp26b1, epha4a, hoxb2a, her4.2, her3, hoxa2b, zwi, gabra5, gabrb3, myo1cb, pou3f1, pax7b, cspg5a, VGLL3
27	12 hpf	28	NA	epidermis	spaca4l, nme2a, dlx5a, cyp2aa6, dlx2a, ecrg4b, cyp2k16, rpe65b, mmp30
28	12 hpf	29	NA	placode (adenohypophyseal )	sp8a, fezf1, fgf24, dlx4b, arl3l1, six1b, cdr2l, dlx3b, fgf17, emx3, hesx1
29	12 hpf	30	NA	pharyngeal endoderm	pltp, mcama, gpm6ab, foxa2, foxa3, foxa1, foxa, prdx5, txn, nkx2.7
30	12 hpf	31	NA	sensory neurons (trigeminal)	elavl3, drgx, tuba8l3, neurod1, myt1a, dlb, scrt2, dla, ebf2, neurod4, srrm4, myt1b
31	12 hpf	32	NA	ventral midbrain	nkx6.2, helt, nkx2.9, phox2a, ntn1a, nkx2.2b, foxa, foxb1a, foxa2
32	12 hpf	33	NA	epidermis	hpgd, cldni, kera, fermt1, gata2a, ptk2bb, capn8, cldna, cldn1, gata3, tfap2c, nkx2.3, nkx3.2, hoxb5a, scinla, nkx2.7
33	12 hpf	34	NA	epidermis	cyp26a1, nkx2.3, nkx2.7, isl2a, rpe65b, dlx2a, spaca4l, foxi1, cldni, tagln2, gata2a, gata3, hand2
34	12 hpf	35	NA	adaxial cell	tnni2b.1, myod1, myf5, fn1b, ttn.2, ttn.1, myl10, actc1b, meox1, 
35	12 hpf	36	NA	rostral blood island (myeloid)	lmo2, tal1, etv2, spi1b, sox7, cebpa, fli1a, gata5, ripply2, gsc, gata6, fgf10a
36	12 hpf	37	NA	diencephalon	lhx4, noto, tdgf1, barhl2, lhx5, emx3, zic2a, pax6a, otx1a, rspo3
37	12 hpf	38	NA	neural crest 	dusp2, sox10, twist1b, sox9b, msx3, foxd3, hoxb2a, cxxc4, hoxb1a, tfap2a, hoxa2b
38	12 hpf	39	NA	floor plate	aplnr2, foxa2, shha, shhb, lgals2a, foxj1a, daw1
39	12 hpf	40	NA	mesoderm (head mesenchyme)	hgfa, foxf2a, foxc1b, insb, ntd5, twist1a, eya2, ripply1, rcn3, col11a1a, tsku, acp5a 
40	12 hpf	41	NA	neural crest (pre-mig/mig.)	guca2b, ednrab, sfrp2, crestin, sox10, sox9b, hoxa3a, foxd3, kalrnb, hoxb3a, tfap2a, crabp2a, msx3, egr2b, hoxc3a, hoxb1b
41	12 hpf	42	NA	periderm	capn9, cldne, ponzr5, ppl, icn2, mgst1.2, evpla, elovl7b, znf185
42	12 hpf	43	NA	placode (olfactory; neurons)	neurod1, neurod4, uncx, foxn4, lhx2a, unc4x.1, srrm4, insm1b, hes2.2, dlb, fgf24, fezf1, dlx4b, elavl3
43	12 hpf	44	NA	notochord	pmp22b, ta, loxl5b, emilin3a, hfe2, twist2, nog2, ntd5
44	12 hpf	45	NA	epidermal ionocyte	foxi3a, foxi3b, gcm2, atp1a1a.4, sstr5, foxg1b, ugt8, myb
45	14 hpf	0	12h-0	optic vesicle	rx1, rx3, mab21l2, foxd1
46	14 hpf	1	12h-1	optic vesicle (dorsal)	rx1, pax6b, mab21l, rx3, tbx2b, hmx4, myca, hmx1, tbx2a
47	14 hpf	2	12h-7	midbrain neural rod	eng2b, dmbx1a, sox21a, her3, pax7a, otx1b, ackr3a, otx2, pou3f3a, ackr3a
48	14 hpf	3	12h-1	optic vesicle (ventral)	foxd1, cyp27c1, rx1, rx2, rx3, vcana, six7, six3a
49	14 hpf	4	NA	mid/hind progenitors (neural plate)	her4.2, sox3, her8a, eng2b, her3
50	14 hpf	5	NA	dienc-midbrain boundary	fabp7a, otx2, pax6a, mab21l1, foxb1a, dmbx1a
51	14 hpf	6	12h-9	dorsal diencephalon	barhl1a, barhl2, olig3, pax6a, wnt8b, wnt4a, lhx5, olig2, otx1b, foxb1a
52	14 hpf	7	12h-8	hindbrain rhombomere 7	hoxa3a, hoxb1b, hoxb3a, hoxb5b, hoxd4a, crabp2a, rxrga
53	14 hpf	8	12h-4	neural crest	tfap2a, sox10, ednrab, pdgfra, sox9b, twist1b, prex2, fam212aa, zic2b, cxxc5b
54	14 hpf	9	NA	hindbrain (ant. dorsal, upper rhombic lip)	atoh1a, msx1b, casz1, zic2a, msx3, olig3, zic2b
55	14 hpf	10	12h-5	mid-hind boundary/ant hindbrain	eng2b, eng2a, eng1b, pax2a, pax8, fgf8a, gbx2, pax2b, pax7a, pax5
56	14 hpf	11	12h-23	optic stalk (ventral diencephalon)	vax1, fezf1, olig2, gsx2, sox1b, nkx2.2a, foxd1, six3a, fezf2, lhx5, nkx2.9
57	14 hpf	12	12h-13	telencephalon 	emx3, foxg1a, sox1b, fezf2, hesx1, lhx2b, dlx3b, rspo3, ntn1b, sp8b
58	14 hpf	13	12h-17	hindbrain rhombomere 1/2	cyp26b1, egfl6.1, hoxa2b, irx3a, ptgdsb.1, her3, pax7b, dbx1b
59	14 hpf	14	12h-2	midbrain	eng2b, eng2a, her5, her11, cxcl14, wnt8b, pax2a, pax7a, ackr3a, lmx1bb
60	14 hpf	15	12h-20	ventral diencephalon	dbx1a, sst1.2. nkx2.4a, nkx2.4b, shha, shhb, nkx2.1, fzd8b, nkx2.2b, lft1, rx3
61	14 hpf	16	12h-32	ventral midbrain	nkx6.2, helt, nkx2.9, ntn1a, nkx2.2b, foxa, foxa1, foxa2, nkx2.2a
62	14 hpf	17	12h-31	neurons	elavl3, vim, myt1a, dlb, tuba8l3, ebf2, neurod1, myt1b, neurod4, srrm4, celf3a, nova2, nfasca, draxin, scrt2, ebf3a
